id,name,email,phone
1,Pearson Education,education@pearson.com,9810000001
2,McGraw Hill Education,contact@mheducation.com,9810000002
3,Oxford University Press,oup@oup.com,9810000003
4,Cambridge University Press,cambridge@cambridge.org,9810000004
5,Prentice Hall,info@prenhall.com,9810000005
6,Wiley Publications,wiley@wiley.com,9810000006
7,Springer Nature,springer@springer.com,9810000007
8,Elsevier,elsevier@elsevier.com,9810000008
9,MIT Press,mitpress@mit.edu,9810000009
10,Addison-Wesley,aw@aw.com,9810000010
