id,title,author,category,isbn,publisher_id,total_copies,available_copies
1,Advanced Mobile Development: Theory and Practice,Dr. Venkat Reddy,Mobile Development,979-3-458-212-1,6,9,3
2,Advanced Construction Management: Theory and Practice,Dr. Prakash,Construction Management,978-9-106-179-6,5,5,5
3,Advanced Cloud Computing: Theory and Practice,Prof. Ramesh Gupta,Cloud Computing,978-6-238-975-2,7,13,6
4,Big Data Analytics: Principles and Applications,Dr. Prakash,Data Science,978-2-911-528-3,7,14,8
5,Operating Systems: Principles and Applications,Prof. Sunita Rao,Computer Science,979-4-448-366-3,9,6,1
6,Advanced Communication Systems: Theory and Practice,Prof. Meera Nair,Communication Systems,978-2-114-129-3,8,10,5
7,Advanced Cloud Computing: Theory and Practice,Prof. Lakshmi Devi,Cloud Computing,979-8-192-966-2,1,11,6
8,Advanced Philosophy: Theory and Practice,Prof. Grace Kim,Philosophy,979-5-550-300-8,8,13,1
9,Data Visualization: Principles and Applications,Dr. Ashok Kumar,Data Science,978-6-746-260-9,6,6,5
10,Advanced Electrical Engineering: Theory and Practice,Dr. Priya Sharma,Electrical Engineering,978-7-364-748-8,4,12,3
11,Advanced Web Development: Theory and Practice,Prof. Sarala,Web Development,978-3-130-942-2,10,6,5
12,Big Data Analytics: Principles and Applications,Dr. Rajesh Babu,Data Science,978-0-993-524-8,3,13,9
13,Advanced Communication Systems: Theory and Practice,Dr. Henry Davis,Communication Systems,979-2-853-281-5,5,8,3
14,Advanced Renewable Energy: Theory and Practice,Prof. Grace Kim,Renewable Energy,979-7-730-212-1,6,12,3
15,Advanced Biotechnology: Theory and Practice,Prof. Grace Kim,Biotechnology,979-4-932-808-1,5,3,3
16,Advanced Communication Systems: Theory and Practice,Dr. Rajesh Babu,Communication Systems,978-1-835-737-9,4,14,1
17,Hydraulic Engineering: Principles and Applications,Dr. Kiran Patel,Civil Engineering,978-2-997-647-6,8,6,0
18,Advanced Biology: Theory and Practice,Prof. Lakshmi Devi,Biology,979-5-256-517-7,6,9,7
19,Advanced Political Science: Theory and Practice,Prof. Sarala,Political Science,979-3-323-911-4,3,7,2
20,Advanced Robotics: Theory and Practice,Prof. Meera Nair,Robotics,979-5-365-939-7,9,14,10
21,Advanced Web Development: Theory and Practice,Prof. Meera Nair,Web Development,979-1-504-913-6,8,15,7
22,Advanced Digital Signal Processing: Theory and Practice,Dr. Kiran Patel,Digital Signal Processing,979-4-838-151-9,2,6,0
23,Neural Networks: Principles and Applications,Prof. Sarala,Artificial Intelligence,979-2-962-442-9,5,10,1
24,Statistical Learning: Principles and Applications,Dr. Priya Sharma,Machine Learning,978-0-693-157-3,7,5,2
25,Advanced Marketing: Theory and Practice,Prof. Ramesh Gupta,Marketing,979-7-263-783-6,1,11,9
26,Advanced Biology: Theory and Practice,Prof. Sarala,Biology,978-3-975-555-7,3,15,14
27,Advanced Philosophy: Theory and Practice,Dr. Henry Davis,Philosophy,978-9-732-215-4,5,7,2
28,Advanced Fluid Mechanics: Theory and Practice,Dr. Venkat Reddy,Fluid Mechanics,978-4-347-998-7,7,9,2
29,Advanced Psychology: Theory and Practice,Prof. Meera Nair,Psychology,978-6-736-711-1,8,6,1
30,Advanced Philosophy: Theory and Practice,Prof. Ramesh Gupta,Philosophy,979-9-770-577-5,4,11,7
31,Data Structures: Principles and Applications,Dr. Rajesh Babu,Computer Science,979-7-575-680-6,10,4,0
32,Machine Design: Principles and Applications,Prof. Anita Desai,Mechanical Engineering,979-4-623-380-4,7,9,7
33,Advanced Robotics: Theory and Practice,Prof. Lakshmi Devi,Robotics,979-0-257-727-9,10,8,6
34,Operating Systems: Principles and Applications,Prof. Anita Desai,Computer Science,978-6-955-490-9,5,13,8
35,Probability Theory: Principles and Applications,Dr. Ramesh Kumar,Mathematics,978-3-205-741-6,4,9,6
36,Advanced Construction Management: Theory and Practice,Dr. Henry Davis,Construction Management,978-4-279-500-8,10,5,4
37,Pattern Recognition: Principles and Applications,Dr. Ramesh Kumar,Machine Learning,978-6-521-942-2,7,10,10
38,Advanced Electrical Engineering: Theory and Practice,Dr. Ashok Kumar,Electrical Engineering,978-7-570-440-2,4,6,4
39,Advanced Biology: Theory and Practice,Prof. Anita Desai,Biology,979-7-750-224-1,9,3,0
40,Advanced Thermodynamics: Theory and Practice,Dr. Venkat Reddy,Thermodynamics,978-1-507-942-2,5,8,3
41,Advanced Biotechnology: Theory and Practice,Prof. Ramesh Gupta,Biotechnology,979-5-560-246-6,7,4,1
42,Advanced Electrical Engineering: Theory and Practice,Dr. Rajesh Babu,Electrical Engineering,979-1-254-865-5,6,12,5
43,Advanced Digital Signal Processing: Theory and Practice,Prof. Grace Kim,Digital Signal Processing,978-8-835-810-6,9,5,2
44,Advanced Economics: Theory and Practice,Dr. Prakash,Economics,978-6-868-415-5,9,7,6
45,Advanced Renewable Energy: Theory and Practice,Prof. Sarala,Renewable Energy,978-3-628-609-4,6,13,7
46,Advanced Marketing: Theory and Practice,Dr. Kiran Patel,Marketing,978-7-971-259-4,6,15,2
47,Advanced Biology: Theory and Practice,Prof. Meera Nair,Biology,978-0-276-952-6,10,9,4
48,Advanced Construction Management: Theory and Practice,Dr. Ashok Kumar,Construction Management,978-6-257-203-6,8,7,0
49,Advanced Communication Systems: Theory and Practice,Dr. Ramesh Kumar,Communication Systems,979-0-115-620-2,3,4,3
50,Advanced Biotechnology: Theory and Practice,Dr. Rajesh Babu,Biotechnology,978-7-144-650-4,8,11,2
51,Advanced Human Resources: Theory and Practice,Prof. Ramesh Gupta,Human Resources,979-8-405-182-2,6,14,13
52,Advanced Construction Management: Theory and Practice,Dr. Prakash,Construction Management,979-7-865-458-7,6,13,0
53,Advanced Robotics: Theory and Practice,Prof. Sarala,Robotics,979-6-396-331-5,9,9,0
54,Advanced Political Science: Theory and Practice,Dr. Priya Sharma,Political Science,979-1-240-535-4,7,7,1
55,Electromagnetism: Principles and Applications,Dr. Henry Davis,Physics,978-9-223-883-5,4,7,6
56,Advanced Sociology: Theory and Practice,Dr. Prakash,Sociology,979-5-920-903-7,9,3,1
57,Advanced Cloud Computing: Theory and Practice,Prof. Lakshmi Devi,Cloud Computing,978-4-784-260-6,10,8,0
58,Advanced Political Science: Theory and Practice,Dr. Rajesh Babu,Political Science,978-9-562-471-9,8,12,5
59,Human Resource Management: Principles and Applications,Dr. Kiran Patel,Business Management,978-4-190-483-8,5,3,1
60,Advanced Fluid Mechanics: Theory and Practice,Dr. Kiran Patel,Fluid Mechanics,979-5-454-870-9,2,12,12
61,Operations Management: Principles and Applications,Dr. Ramesh Kumar,Business Management,979-0-636-177-3,2,8,8
62,Advanced Sociology: Theory and Practice,Dr. Priya Sharma,Sociology,979-3-287-233-4,9,3,1
63,Operating Systems: Principles and Applications,Prof. Anita Desai,Computer Science,978-3-558-269-3,2,15,2
64,Advanced Political Science: Theory and Practice,Dr. Rajesh Babu,Political Science,979-6-296-555-3,10,15,12
65,Computer Networks: Principles and Applications,Dr. Venkat Reddy,Computer Science,978-5-177-730-4,3,8,2
66,Advanced Structural Analysis: Theory and Practice,Dr. Ramesh Kumar,Structural Analysis,979-3-341-969-2,10,3,1
67,Advanced Economics: Theory and Practice,Dr. Henry Davis,Economics,979-2-917-418-8,7,11,7
68,Advanced Mobile Development: Theory and Practice,Prof. Meera Nair,Mobile Development,978-5-243-371-2,3,8,1
69,Pattern Recognition: Principles and Applications,Dr. Henry Davis,Machine Learning,979-3-554-337-2,9,3,2
70,Advanced Philosophy: Theory and Practice,Prof. Ramesh Gupta,Philosophy,979-4-891-787-1,1,14,6
71,Advanced Electrical Engineering: Theory and Practice,Prof. Ramesh Gupta,Electrical Engineering,978-4-869-222-3,4,7,1
72,Advanced Biotechnology: Theory and Practice,Prof. Grace Kim,Biotechnology,978-4-337-826-9,2,10,9
73,Marketing Management: Principles and Applications,Prof. Lakshmi Devi,Business Management,979-0-374-905-3,8,8,7
74,Advanced Economics: Theory and Practice,Dr. Prakash,Economics,978-4-945-564-7,8,4,1
75,Advanced Biology: Theory and Practice,Dr. Priya Sharma,Biology,978-1-954-278-1,8,13,3
76,Advanced Mobile Development: Theory and Practice,Dr. Ashok Kumar,Mobile Development,978-8-679-770-7,10,3,2
77,Natural Language Processing: Principles and Applications,Prof. Sarala,Artificial Intelligence,979-2-303-564-1,2,7,5
78,Advanced Biotechnology: Theory and Practice,Prof. Anita Desai,Biotechnology,979-3-781-545-3,2,5,0
79,Advanced Biotechnology: Theory and Practice,Prof. Sunita Rao,Biotechnology,979-9-611-520-8,7,4,4
80,Advanced Chemistry: Theory and Practice,Prof. Anita Desai,Chemistry,978-7-960-664-4,6,9,3
81,Data Structures: Principles and Applications,Prof. Lakshmi Devi,Computer Science,978-0-304-134-5,10,5,5
82,Aerospace Engineering: Principles and Applications,Dr. Venkat Reddy,Mechanical Engineering,978-2-179-599-6,8,11,2
83,Advanced Sociology: Theory and Practice,Prof. Ramesh Gupta,Sociology,979-2-819-474-2,6,15,15
84,Advanced Fluid Mechanics: Theory and Practice,Prof. Ramesh Gupta,Fluid Mechanics,978-0-663-860-7,7,13,2
85,Advanced Control Systems: Theory and Practice,Prof. Anita Desai,Control Systems,978-6-885-316-9,4,14,14
86,Advanced Mobile Development: Theory and Practice,Dr. Ramesh Kumar,Mobile Development,978-4-537-153-9,10,7,3
87,Advanced Electrical Engineering: Theory and Practice,Dr. Priya Sharma,Electrical Engineering,979-1-166-520-3,6,7,0
88,Advanced Mobile Development: Theory and Practice,Prof. Frank Lee,Mobile Development,979-5-939-259-5,8,3,0
89,Advanced Marketing: Theory and Practice,Prof. Sunita Rao,Marketing,979-1-934-797-1,7,6,6
90,Geotechnical Engineering: Principles and Applications,Dr. Priya Sharma,Civil Engineering,978-7-385-891-5,5,15,5
91,Structural Engineering: Principles and Applications,Dr. Prakash,Civil Engineering,978-2-339-283-6,10,15,7
92,Advanced Mobile Development: Theory and Practice,Prof. Ramesh Gupta,Mobile Development,978-4-588-817-5,10,3,1
